,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
128,1301520.95483178,877461.665948467,8776070.56601413,2774470.88002294,1057977.7312887,5465837.63538712,813851.660533077,489947.810003109,1444967.87471567,3504538.99576436
129,2589279.32865304,969966.778979269,7196053.67069578,3214470.27872142,399156.837080768,2754630.1156671,842347.473269609,787308.930999495,1804988.61607935,4809077.28555251
130,15553311.4734362,1142040.88964741,8178334.54727465,5920623.13854114,1438554.50567461,2115604.29614208,927703.161547774,948304.082837978,1382471.33990105,3902987.05933483
131,3575288.95480472,1520835.79389844,6416015.14686843,3438465.90144456,787919.040718259,5696113.76711636,579234.725945992,504921.148591129,1176236.51061605,9640734.38368623
132,19691240.8383339,787177.342236822,15736256.9004886,1981478.71663728,518785.645882288,2107262.98503847,934110.051743469,252753.44916291,1350040.93735236,3347993.2659585
133,4551963.39284931,2599824.44249944,9741713.08849219,3569738.42126623,971167.368780888,5680587.38011167,891671.431768931,433466.894837712,1064850.42368144,1363223.64027681
134,2405463.82044955,1103925.98383473,4200535.36905811,4746099.40166951,734121.465474202,3656540.02861264,770428.326342947,353972.615478086,1002530.62923622,1011061.50963143
135,1804586.80829662,1936680.87561154,8675013.87167385,3486356.64009261,797682.26904057,3888208.13626425,975709.198945159,495391.238696909,2008139.80483099,3530161.30671464
136,4702768.07383838,4241710.54888465,3734765.1851512,2866132.75540789,1126503.57128431,4601046.18424916,659316.467359542,839306.896411469,1082891.01251749,2364617.25661381
137,12090355.1762702,874107.724784736,3908047.4698342,4856921.33650459,575222.59013562,3407055.17689605,957813.407547765,293685.689891192,570329.494701319,3820042.14014329
138,3054996.57021101,602113.787500239,5665137.97791854,5354264.00211957,706069.626875173,4776109.18828327,634118.664552703,586794.588024169,1083274.93286917,4508578.33577143
139,4963023.7890184,420492.147012267,4199480.67714575,2445960.60809007,1070701.39231119,2464976.49032401,422182.401473091,1265350.96267711,1560000.49245622,5304095.02093396
140,2537336.85328951,809097.844737655,5562941.33045572,3001362.5611659,465990.336204039,4864131.04748189,456250.058848862,981439.800852928,1272464.49863886,5211952.78484895
